ID,deaths_r,deaths_nr,deaths,pestfield,dis_pestf,dis_sewers,dis_bspump
1,0,0,0,1,  10.080000000000000,  10.080000000000000, 125.000000000000000
2,1,0,1,1,  14.640000000000001,  14.640000000000001, 119.939999999999998
3,0,0,0,1,  18.469999999999999,  18.469999999999999, 116.269999999999996
4,0,0,0,1,  22.980000000000000,  22.980000000000000, 112.560000000000002
5,0,0,0,1,  27.469999999999999,  27.469999999999999, 109.099999999999994
6,5,0,5,1,  32.210000000000001,  32.210000000000001, 105.540000000000006
7,1,0,1,1,  42.770000000000003,  42.770000000000003, 101.430000000000007
8,0,0,0,1,  36.430000000000000,  36.430000000000000,  97.560000000000002
9,0,0,0,1,  31.480000000000000,  31.480000000000000,  94.079999999999998
10,0,0,0,1,  32.310000000000002,  32.310000000000002, 112.859999999999999
11,0,0,0,1,  24.910000000000000,  24.910000000000000, 111.189999999999998
12,0,0,0,1,  20.730000000000000,  20.730000000000000, 110.200000000000003
13,0,0,0,1,  15.970000000000001,  15.970000000000001, 108.989999999999995
14,0,0,0,1,   8.720000000000001,   8.720000000000001, 107.900000000000006
15,0,0,0,1,  36.060000000000002,  40.170000000000002, 120.909999999999997
16,0,0,0,1,  32.430000000000000,  32.430000000000000, 116.530000000000001
17,2,0,2,1,  29.430000000000000,  29.430000000000000, 112.609999999999999
18,2,0,2,1,  26.940000000000001,  26.940000000000001, 108.829999999999998
19,1,0,1,1,  25.420000000000002,  25.420000000000002, 105.569999999999993
20,1,0,1,1,  25.789999999999999,  25.789999999999999, 103.480000000000004
21,0,0,0,1,  48.880000000000003,  48.880000000000003,  65.819999999999993
22,0,0,0,1,  46.770000000000003,  46.770000000000003,  61.820000000000000
23,1,0,1,1,  58.180000000000000,  44.460000000000001, 124.829999999999998
24,0,0,0,1,  54.640000000000001,  40.640000000000001, 127.799999999999997
25,0,0,0,1,  51.640000000000001,  42.509999999999998, 129.960000000000008
26,0,0,0,1,  37.299999999999997,  37.299999999999997, 133.370000000000005
27,0,0,0,1,  32.939999999999998,  32.939999999999998, 136.370000000000005
28,1,0,1,1,  28.750000000000000,  28.750000000000000, 139.069999999999993
